3,9,29,6900
4,186,37,9100
9,12,39,200
16,36,40,6000
19,22,33,6460
20,61,38,2000
22,73,30,500
24,43,40,3000
25,57,29,800
30,64,33,2000
31,84,35,500
33,33,35,3100
34,138,39,500
39,17,29,8200
43,29,39,3000
48,49,37,500
57,64,33,300
63,273,40,12200
68,1,16,4500
82,34,35,5000
88,134,36,45300
104,59,29,120
120,65,64,14500
129,46,34,100
141,46,33,400
150,82,67,32300
160,49,58,1100
162,62,55,1500
165,79,46,9000
175,46,39,100
185,26,32,5000
188,223,36,3000
191,157,59,1000
197,191,37,7000
206,29,46,1000
212,59,40,3500
221,18,33,500
223,73,42,500
224,196,43,5000
231,44,27,6300
281,68,45,4500
283,117,64,28500
290,62,34,1500
310,57,46,300
329,62,27,3000
332,184,46,500
333,71,43,7000
338,170,25,3000
343,39,35,2000
347,70,29,100
380,140,61,2000
403,58,34,2500
411,163,47,21000
416,83,41,500
420,72,42,3000
422,87,30,1600
470,64,35,2600
474,140,26,2000
477,45,37,500
490,77,47,3000
509,38,34,2500
511,46,32,100
535,138,53,4200
539,159,54,2000
541,117,29,30000
546,69,26,13000
551,59,36,9500
558,62,44,4700
564,54,31,300
565,26,35,1000
579,96,52,2000
598,15,38,1000
602,66,38,800
605,158,29,2000
607,144,61,110900
611,188,65,13000
613,71,40,12000
614,18,54,2000
618,39,28,1000
620,221,33,12000
648,136,53,28000
656,79,46,1600
669,58,44,100
674,175,41,3000
681,79,41,11000
684,64,61,2500
700,30,40,300
701,67,38,500
707,61,41,500
712,278,38,1500
713,91,36,6800
716,103,52,3000
718,84,30,58000
722,86,27,1000
739,64,43,15000
741,33,41,400
742,100,35,15000
760,46,26,1000
768,95,42,4000
780,272,55,84500
798,113,46,27000
799,101,43,1800
805,92,31,31000
812,75,43,2800
828,69,37,6500
843,62,43,600
844,89,34,200
853,37,39,300
856,173,34,18000
857,78,31,1100
860,92,23,1000
872,35,34,3000
876,97,35,7000
891,25,32,300
919,128,51,15600
934,82,34,500
942,87,42,300
954,226,46,1000
960,42,42,300
962,14,23,1300
971,103,49,500
973,37,45,100
978,119,25,14500
1005,85,30,1800
1033,93,36,30500
1036,29,49,500
1044,140,49,300
1051,108,45,1500
1057,53,25,1900
1063,18,25,2000
1110,78,46,300
1112,60,44,200
1120,160,39,500
1126,143,39,36000
1130,66,38,1500
1174,64,52,300
1175,203,55,6800
1187,48,32,4000
1193,181,27,600
1194,35,29,200
1222,88,27,11000
1225,37,45,100
1227,106,39,4900
1228,47,40,300
1240,114,48,1000
1245,203,42,24600
1251,40,40,15000
1261,113,32,2500
1264,107,34,800
1266,195,45,1000
1270,26,32,2000
1283,155,46,33000
1291,85,22,600
1307,58,55,500
1308,41,31,300
1309,45,42,6000
1328,138,43,8800
1331,61,42,300
1348,110,43,5000
1350,41,28,800
1355,170,65,5500
1364,107,44,4200
1369,135,57,15000
1379,78,51,3400
1398,139,37,3500
1407,94,28,2000
1436,147,33,12800
1439,26,31,400
1457,94,38,9500
1476,149,45,3000
1478,38,53,10000
1495,45,44,500
1526,45,33,300
1533,114,39,500
1538,54,35,600
1548,54,25,5600
1558,55,55,10200
1560,49,33,1100
1563,110,31,4000
1564,50,34,1900
1574,56,28,100
1581,21,34,100
1597,128,50,300
1624,104,32,1600
1643,105,27,1000
1680,51,29,1500
1687,62,37,2000
1689,108,49,18500
1700,67,54,8000
1704,110,38,3000
1713,112,39,4000
1738,14,33,500
1744,92,31,1100
1758,86,54,10000
1772,24,31,3000
1775,85,34,300
1788,68,37,2700
1797,108,21,4300
1856,91,34,300
1857,143,28,3400
1886,173,37,6000
1912,123,28,7200
1913,135,45,300
1915,69,57,500
1926,21,41,1200
1950,280,48,100
1970,108,50,2800
2019,57,28,4500
2039,360,35,30500
2120,167,45,8500
2175,15,17,500
2236,87,50,300
2270,114,25,1000
2399,101,49,300
2438,34,42,200
2444,178,43,18500
2509,126,59,6000
2520,169,36,500
2543,168,30,2100
2584,44,28,200
2588,157,53,6500
